Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2005-12-09,YESBANK,EQ,70.9,71.45,71.7,70.85,71.0,71.0,71.26,273836,1951328880000.0,,156837,0.5727000000000001
2005-12-12,YESBANK,EQ,71.0,71.1,71.6,69.1,70.0,69.8,70.1,262724,1841653835000.0002,,208274,0.7927
2005-12-13,YESBANK,EQ,69.8,69.9,70.75,69.15,70.0,70.1,70.24,311283,2186389835000.0002,,251386,0.8076000000000001
2005-12-14,YESBANK,EQ,70.1,77.15,77.15,69.85,69.9,70.35,70.48,557407,3928326835000.0,,409572,0.7348
2005-12-15,YESBANK,EQ,70.35,71.0,71.9,70.25,70.3,70.3,70.46,278540,1962530935000.0002,,179057,0.6428
2005-12-16,YESBANK,EQ,70.3,68.0,70.45,66.0,69.85,69.8,68.98,1001763,6909796155000.0,,424849,0.4241
2005-12-19,YESBANK,EQ,69.8,69.0,71.0,68.5,68.55,68.9,69.16,342346,2367583825000.0,,247538,0.7231000000000001
2005-12-20,YESBANK,EQ,68.9,68.9,69.8,68.1,69.45,69.05,68.91,183739,1266116690000.0,,129071,0.7025
2005-12-21,YESBANK,EQ,69.05,69.4,70.0,68.85,69.3,69.3,69.29,301973,2092376025000.0,,214535,0.7104
2005-12-22,YESBANK,EQ,69.3,68.0,69.3,67.5,68.0,67.85,68.35,149276,1020298085000.0,,116999,0.7837999999999999
2005-12-23,YESBANK,EQ,67.85,68.2,68.75,68.05,68.5,68.35,68.45,137809,943325519999.9999,,120003,0.8708
2005-12-26,YESBANK,EQ,68.35,68.0,68.5,66.35,67.0,67.0,67.15,127574,856692565000.0,,87449,0.6855
2005-12-27,YESBANK,EQ,67.0,67.75,69.7,67.0,69.4,68.8,68.3,110129,752191035000.0,,75896,0.6892
2005-12-28,YESBANK,EQ,68.8,68.5,69.25,68.25,69.0,68.85,68.78,94972,653262610000.0,,57849,0.6091
2005-12-29,YESBANK,EQ,68.85,68.9,70.15,68.1,70.05,69.95,69.52,306520,2130798839999.9998,,260234,0.8490000000000001
2005-12-30,YESBANK,EQ,69.95,69.0,70.5,68.15,68.3,68.4,68.96,89464,616927325000.0,,61652,0.6890999999999999
2006-01-02,YESBANK,EQ,68.4,69.0,69.5,68.2,68.4,68.35,68.84,80274,552573325000.0,,51553,0.6422
2006-01-03,YESBANK,EQ,68.35,68.6,71.2,68.5,69.5,69.5,69.86,342338,2391628010000.0,,150455,0.43950000000000006
2006-01-04,YESBANK,EQ,69.5,69.95,70.0,68.5,69.0,68.95,69.04,154266,1065113865000.0,,116821,0.7573000000000001
2006-01-05,YESBANK,EQ,68.95,69.9,73.4,68.75,71.8,71.6,71.72,1751117,12558965995000.0,,693145,0.3958
2006-01-06,YESBANK,EQ,71.6,71.5,72.65,69.75,71.55,71.45,71.35,673639,4806286600000.0,,384973,0.5715
2006-01-09,YESBANK,EQ,71.45,72.0,72.45,68.5,69.0,69.15,70.13,1005161,7049099515000.001,,387876,0.3859
2006-01-10,YESBANK,EQ,69.15,69.5,71.35,68.0,68.25,68.15,69.28,1094396,7582313670000.0,,663769,0.6065
2006-01-12,YESBANK,EQ,68.15,68.75,70.1,68.0,70.0,69.65,69.44,505375,3509158190000.0,,346804,0.6862
2006-01-13,YESBANK,EQ,69.65,70.25,74.95,70.0,73.65,74.2,73.11,1935787,14152892240000.0,,1133150,0.5854
2006-01-16,YESBANK,EQ,74.2,74.9,76.6,73.15,73.85,73.8,74.92,1247640,9346725970000.0,,535691,0.4294
2006-01-17,YESBANK,EQ,73.8,74.0,74.35,72.0,73.1,73.05,72.96,377435,2753702870000.0,,215514,0.5710000000000001
2006-01-18,YESBANK,EQ,73.05,72.5,73.0,71.1,72.0,71.85,71.82,196611,1411993820000.0,,88179,0.4485
